"album"|"alt_genre"
"Little Big Horn (Reworked Version 2003)"|"Power"
"Port Royal"|"Power"
"Ghetto Child (Demo Version of ""Little Child Runnin' Wild"")"|"Power"
"Masquerade (Expanded Edition) [Remastered 2017]"|"Power"
"Ready For Boarding"|"Power"
"Aus der Asche"|"Medieval"
"Des Königs Henker"|"Medieval"
"Sturm aufs Paradies"|"Medieval"
"Das schwarze Einmaleins"|"Medieval"
"Das zweite Gesicht"|"Medieval"
"Löwenherz"|"Medieval"
"A.ura und das Schnecken.Haus"|"Avant-garde Black Metal"
"Scheiden tut weh"|"Avant-garde Black Metal"
"DerDieDas (Weena Morloch-Bonus-Material vom Samsas Traum-Remix-Album ""Arachnoidea oder: Von Babalon, Scheiterhaufen und Zerstörungswut - Eine Apokalypse in 23 Tagen"")"|"Avant-garde Black Metal"
"Oh Luna mein"|"Avant-garde Black Metal"
"Einer gegen alle"|"Avant-garde Black Metal"
"Terminal Earth"|"Power Metal"
"Ball of the Damned"|"Power Metal"
"Hypertrace"|"Power Metal"
"The Judgement"|"Power Metal"
"Wahre Helden"|"Metal"
"Anderswelt"|"Metal"
"Narrenkönig"|"Metal"
"Mit Leib und Seele"|"Metal"
"Wie Pech und Schwefel"|"Metal"
"Von Spitzbuben und anderen Halunken"|"Metal"
"Traumt„nzer"|"Metal"
"Scheepers"|"Heavy Metal"
"Everything That Got Us Here"|"Heavy Metal"
"The Ascent"|"Heavy Metal"
"Fragile Figures"|"Heavy Metal"
"Southgate"|"Power Metal"
"Worlds Apart"|"Rock"
"Walk the Earth"|"Rock"
"Rising from Ashes"|"Rock"
"Nebelheim"|"Folk Metal"
"Schwarz Verh?llt"|"Folk Metal"
"A Spark of Deity"|"Heavy Metal"
"In Our Hands"|"Heavy Metal"
"Evil Iron Kingdom"|"Thrash"
"Gateway to Death"|"Thrash"
"Stormriders"|"Thrash"
"Heathen Warrior"|"Speed Metal"
"Norsemen"|"Speed Metal"
"Heavy Metal Fire"|"Speed Metal"
"Heading Northe"|"Speed Metal"
"Thunder & Steele"|"Speed Metal"
"Northern Rage"|"Speed Metal"
"The Beauty and the Beast"|"Power Metal"
"Tales of Terror"|"Power Metal"
"Bound to the Witch"|"Power Metal"
"Witchcraft"|"Power Metal"
"Walpurgis Night"|"Power Metal"
"Stronger Than Heaven"|"Power Metal"
"Season of the Witch"|"Power Metal"
"Eye of the Storm"|"Power Metal"
"Shogun"|"Power Metal"
"Bastard"|"Medieval"
"Foppt den D„mon"|"Medieval"
"HEY!"|"Medieval"
"MCMXCV"|"Medieval"
"Nord Nord Ost (15 Year Anniversary Edition)"|"Medieval"
"Album 1994"|"Medieval"
"MitGift"|"Medieval"
"Herzblut"|"Medieval"
"Realms of Odoric"|"Black"
"Auld Lang Syne"|"Black"
"Caledonia"|"Black"
"Lupine Essence"|"Black"
"Lays from Afar"|"Black"
"Emprise to Avalon"|"Black"
"Signs for the Fallen"|"Black"
"Eternal Defiance"|"Black"
"Book of Dowth"|"Black"
"To the Elements"|"Ambient"
"No Tomorrow"|"Progressive Metal"
"Spirit of Freedom"|"Speed Metal"
"Testify 01"|"Metalcore"
"Aeolian"|"Atmospheric Sludge Metal"
"Heliocentric"|"Atmospheric Sludge Metal"
"Fluxion"|"Atmospheric Sludge Metal"
"Pelagial"|"Atmospheric Sludge Metal"
"Anthropocentric"|"Atmospheric Sludge Metal"
"The Grand Inquisitor II: Roots & Locusts"|"Atmospheric Sludge Metal"
"Phanerozoic I: Palaeozoic"|"Atmospheric Sludge Metal"
"Precambrian"|"Atmospheric Sludge Metal"
"Ashes"|"Gothic Metal"
"Rain Upon the Impure"|"Doom Metal"
"Exuvia"|"Doom Metal"
"Three Weeds from the Same Root"|"Progressive Metal"
"Das Leben soll doch schön sein"|"Death 'n' Roll"
"Hosanna Bizarre"|"Thrash Metal"
"For the Kingdom (Live) - EP"|"Hard Rock"
"Ignition - EP"|"Hard Rock"
"Light of Dawn"|"Hard Rock"
"Endstrand"|"Death Metal"
"Romantik"|"Death Metal"
"Zentrum"|"Death Metal"
"Lichtgestalten"|"Death Metal"
"Der Schatten Einer Existenz"|"Death Metal"
"Das Leben Ein Traum"|"Death Metal"
"Aura II"|"Black Metal"
"Der Letzte Winter - Der Ewigkeit Entgegen"|"Black Metal"
"Lichtschleier"|"Black Metal"
"Winterschatten"|"Black Metal"
"Gebirgshöhenstille"|"Black Metal"
"The Enforcer"|"Speed Metal"
"Dualitas"|"Death Metal"
"Memento Mori"|"Death Metal"
"Folie Circulaire"|"Death Metal"
"A Pagan Storm"|"Folk Metal"
"Call of the Black Winds"|"Folk Metal"
"Embraced By Fire"|"Folk Metal"
"Determined Damnation"|"Folk Metal"
"Bloody Tales of Disgraced Lands"|"Folk Metal"
"Kv„llningsvindar ”ver Nordrönt Land (re-mastered w. bonus)"|"Doom Metal"
"Irrbloss"|"Doom Metal"
"Pieces of Mankind"|"Thrash"
"Eidolon"|"Thrash"
"Random's Manifest (Remastered)"|"Thrash"
"Extance"|"Progressive Black Metal"
"Cendres et Sang"|"Progressive Black Metal"
"Of Unsound Minds"|"Thrash Metal"
"Ode to Salvation"|"Power"
"The Silver Arm"|"Power"
"Throes"|"Post-Metal"
"Omonoia"|"Post-Metal"
"Demonized"|"Blackened Melodic Death Metal"
"Sirens"|"Blackened Melodic Death Metal"
"Doomed Dark Years"|"Blackened Melodic Death Metal"
"Rise from Within"|"Blackened Melodic Death Metal"
"Quod Superius Sicut Inferius"|"Blackened Melodic Death Metal"
"Threnody"|"Darkwave"
"Anomima"|"Darkwave"
"The Scarlet Queen"|"Darkwave"
"Vicious Dominion"|"Speed Metal"
"The Great Absence"|"Death"
"Enter Annihilation"|"Thrash Metal"
"666"|"Industrial"
"1A Satanic Propaganda (S.N.T.F Rising)"|"Industrial"
"Star Tales"|"Symphonic"
"Winds Of The Sun"|"Symphonic"
"Ocean Dynamics"|"Symphonic"
"Allegiance"|"Power Metal"
"Forged By Fire"|"Power Metal"
"Days of Defiance"|"Power Metal"
"Immortals"|"Power Metal"
"The Premonition"|"Power Metal"
"Between Heaven and Hell"|"Power Metal"
"Few Against Many"|"Power Metal"
"Burning Earth"|"Power Metal"
"Brand New Revolution"|"Shred"
"I Am the Fire"|"Shred"
"Oi Magoi"|"Psychedelic Rock"
"Pneuma"|"Psychedelic Rock"
"Cain's Way"|"Death Metal"
"Morphosis"|"Death Metal"
"Awakening of the Liar"|"Death Metal"
"Solarflesh"|"Death Metal"
"Holy Dead Trinity (Victims Ep / Lord Is Avenger Lp)"|"Death Metal"
"Erebos (feat. No)"|"Death Metal"
"Tremendum"|"Death Metal"
"Knowledge... Their Enemy"|"Metalcore"
"Human Consumes Human"|"Metalcore"
"Dark Masterpiece"|"Melodic Death Metal"
"Be My Drug"|"Melodic Death Metal"
"Sinful Nation"|"Melodic Death Metal"
"Memories from the Future"|"Power Metal"
"Ophiolatreia"|"Black Metal"
"Feltia"|"Gothic Metal"
"Gods of War - At War"|"Pagan Black Metal"
"The Ancient Returns"|"Pagan Black Metal"
"Žra"|"Death Metal"
"Turtles All the Way Down, Vol. II"|"Viking Metal"
"Aegean Sorrow"|"Doom Metal"
"Eternal Silence"|"Doom Metal"
"Egocentric"|"Doom Metal"
"Angeldust"|"Doom Metal"
"Nuclear Winter"|"Power Metal"
"Futile"|"Thrash Metal"
"Rise"|"Thrash Metal"
"Age of Descent"|"Thrash Metal"
"Passage to Arcturo - EP"|"Black Metal"
"Der Perfekte Traum"|"Black Metal"
"Sleep of the Angels"|"Black Metal"
"Non Serviam"|"Black Metal"
"Khronos"|"Black Metal"
"Rituals"|"Black Metal"
"Triarchy of the Lost Lovers"|"Black Metal"
"A Dead Poem"|"Black Metal"
"Genesis"|"Black Metal"
"The Call of the Aethyrs"|"Black Metal"
"Sanctus Diavolos"|"Black Metal"
"The Mystical Meeting"|"Black Metal"
"The Heretics"|"Black Metal"
"Aealo"|"Black Metal"
"Theogonia"|"Black Metal"
"The Eldest Cosmonaut"|"Symphonic Death Metal"
"Temple of the Lost Race (Bonus Track)"|"Symphonic Death Metal"
"Waters of Lethe"|"Death Metal"
"Absence"|"Death Metal"
"Doom Philosophy"|"Doom Metal"
"Gnosis - EP"|"Atmospheric Post-Black Metal"
"III"|"Atmospheric Post-Black Metal"
"Fields of Doom"|"Doom Metal"
"Suffering G.O.D. Almighty"|"Black Metal"
"12 Ablaze"|"Black Metal"
"DV8"|"Death"
"Orgia Daemonicum"|"Death"
"Previsor"|"Power Metal"
"The Misanthrope's Fable"|"Post-Black Metal"
"The Four Scissors"|"Post-Black Metal"
"''The Serpent's Manifolds''"|"Post-Black Metal"
"Inmortal"|"Death Metal"
"Donde el Silencio Se Rompi¢..."|"Death Metal"
"La Quinta Esencia"|"Death Metal"
"Warcry - EP"|"Death Metal"
"Revoluci¢n"|"Death Metal"
"Alea Jacta Est"|"Death Metal"
"El Sello de los Tiempos"|"Death Metal"
"D¢nde Est  la Luz"|"Death Metal"
"Alfa"|"Death Metal"
"Warfair"|"Heavy Metal"
"Power Within"|"Heavy Metal"
"Nightbreed"|"Heavy Metal"
"Necrolatry - EP"|"Heavy"
"Nykta"|"Heavy"
"In Monumentum"|"Heavy"
"Face of the Conqueror - EP"|"Heavy"
"Dancing in the Fire"|"Thrash Metal"
"Echoes of Eternity"|"Power"
"Qu¡tate la M scara (En Vivo)"|"Progressive Rock"
"Born Bleeding"|"Death Metal"
"Agregator: Sz?rk?let"|"Death Metal"
"A Semmi  g n"|"Death Metal"
"T£lont£l/Puszta L‚t"|"Death Metal"
"T£lont£l/Puszta L‚t"|"Death Metal"
"A Fenevad"|"Thrash Metal"
"Földi örömök"|"Thrash Metal"
"Fekete B r ny"|"Thrash Metal"
"Forr A Dalom"|"Thrash Metal"
"Blood of Legends"|"Black Metal"
"To Death and Beyond..."|"Black Metal"
"House of the Dying Sun"|"Melodic Death Metal"
"Kingdom of the Dead"|"Melodic Death Metal"
"Of Bitterness and Hope"|"Melodic Death Metal"
"The Estrangement Process"|"Thrash Metal"
"This Corroded Soul of Mine - EP"|"Thrash Metal"
"Open the Casket, Enter the Garden"|"Thrash Metal"
"Incompleteness In Absence"|"Thrash Metal"
"Eltörölt Vil g 2"|"Death Metal"
"World Erased"|"Death Metal"
"Presentiment"|"Doom Metal"
"Embraced by the Light"|"Funeral Doom Metal"
"A Total Eclipse of the Sun"|"Gothic"
"Journey Around A Soul"|"Gothic Metal"
"Autumnal"|"Doom Metal"
"Tenkterra"|"Thrash Metal"
"Vintar"|"Thrash Metal"
"Well-Deserved Obscurity"|"Thrash Metal"
"Reflections"|"Progressive Metal"
"Limbus"|"Grindcore"
"Teatar Apsurda"|"Heavy Metal"
"Umro - Single"|"Heavy Metal"
"Serbian Wood"|"Heavy Metal"
"Köld"|"Black Metal"
"Ótta"|"Black Metal"
"Í Blóði og Anda (In Blood and Spirit)"|"Black Metal"
"Berdreyminn"|"Black Metal"
"Svartir Sandar"|"Black Metal"
"Masterpiece of Bitterness"|"Black Metal"
"Invoke the Bizarre"|"Doom Metal"
"A Darkness Descends"|"Black Metal"
"Dashavatar"|"Black Metal"
"The Return to Darkness"|"Black Metal"
"The Demon King"|"Black Metal"
"Burn up the Night"|"Thrash Metal"
"The Coils of Apollyon"|"Thrash Metal"
"Afterburner"|"Thrash Metal"
"Conditioned: Human"|"Death Metal"
"How Are You? We Are Fine, Thank You"|"Death"
"What Makes Us Human Is Obsolete"|"Groove Metal"
"Born of Unity"|"Groove Metal"
"Berkarat"|"Metalcore"
"Dua Sisi"|"Metalcore"
"Beyond Coma and Despair"|"Metalcore"
"Venomous"|"Metalcore"
"Adamantine"|"Metalcore"
"The Skull of Golgotha"|"Death Metal"
"Terror and Submission"|"Grindcore"
"Mind Wars"|"Grindcore"
"Negation of Life"|"Doom Metal"
"In Loving Memory"|"Doom Metal"
"8"|"Experimental Extreme Metal"
"Audible Minority"|"Experimental Extreme Metal"
"The Habit of Fire"|"Experimental Extreme Metal"
"Inward Journey (feat. Luka Megurine)"|"Experimental Extreme Metal"
"Multilateral"|"Experimental Extreme Metal"
"1000 Thoughts of Violence (Remastered)"|"Experimental Extreme Metal"
"Acidity"|"Experimental Extreme Metal"
"Jehovah Sabaoth (God of Angel Armies) [feat. Brittany Stewart]"|"Grindcore"
"Serigala Militia"|"Metal"
"The Age of Dumb"|"Grindcore"
"Completion Makes the Tragedy"|"Groove"
"Episode 15: The Girl Who Was Death"|"Symphonic"
"The Sacrilege of Fatal Arms"|"Symphonic"
"Origin"|"Doom Metal"
"Singularity"|"Doom Metal"
"Aphotic Veil - EP"|"Death Metal"
"Sword of My Father"|"Viking Metal"
"Dolorous Novella"|"Death Metal"
"Bosonic Quantvm Phenomena"|"Progressive Death Metal"
"Dreamland Manor"|"Melodic Speed Metal"
"Of Doom and Death"|"Melodic Speed Metal"
"Storm Corrosion (Special Edition)"|"Experimental Rock"
"The Conscious Sedation"|"Metalcore"
"Rampton"|"Doom Metal"
"Hour of the Nightingale"|"Ambient"
"All in Blood with You"|"Thrash Metal"
"The Last Supper"|"Death Metal"
"Cascade"|"Death Metal"
"Dark Crusade"|"Death Metal"
"Nuada of the Silver Arm"|"Black Metal"
"Tuatha Na Gael"|"Black Metal"
"Folk-Lore"|"Black Metal"
"The Morrigan's Call"|"Black Metal"
"Blood on the Black Robe"|"Black Metal"
"Pagan"|"Black Metal"
"The Middle Kingdom (Bonus Track Version)"|"Black Metal"
"Blood for the Blood God"|"Black Metal"
"Cut Off from the Universe - EP"|"Death Metal"
"Bones as Armour"|"Melodic Death Metal"
"Breakdown of the Bicameral Mind"|"Melodic Death Metal"
"What Stirs Within"|"Thrash Metal"
"The Sullen Sulcus"|"Death Metal"
"Rust & Bone"|"Death Metal"
"A Disease for the Ages"|"Death Metal"
"Autumnal Fires"|"Death Metal"
"Dust"|"Death Metal"
"Formless"|"Death Metal"
"A Murderous Circus Expanded Edition"|"Death Metal"
"Archaic Creation"|"Doom Metal"
"The Gathering Wilderness"|"Black Metal"
"The Burning Season"|"Black Metal"
"Spirit The Earth Aflame"|"Black Metal"
"Exile Amongst the Ruins"|"Black Metal"
"Storm Before Calm"|"Black Metal"
"To the Nameless Dead"|"Black Metal"
"A Journey's End"|"Black Metal"
"Redemption at the Puritan's Hand"|"Black Metal"
"Imrama"|"Black Metal"
"Where Greater Men Have Fallen"|"Black Metal"
"Six"|"Death Metal"
"Geniewar"|"Death Metal"
"Entertain Your Force of Habit"|"Metalcore"
"The Devil Went Down to the Holy Land"|"Metalcore"
"The Lament Configuration"|"Power Metal"
"Voices From Within"|"Melodic Death Metal with Middle Eastern influences"
"Memorial"|"Melodic Death Metal with Middle Eastern influences"
"A Way Out"|"Rock"
"Utopia"|"Rock"
"Chain Reaction"|"Rock"
"Sirens"|"Doom Metal"
"No One's Words"|"Metal"
"SIDUR"|"Folk Metal"
"Alefbase"|"Folk Metal"
"Emissaries"|"Death"
"Mystics of the Pillar II - EP"|"Death"
"The Epigenesis"|"Death"
"The Siege of Lachish"|"Death"
"Djinn"|"Death"
"Enki"|"Death"
"Sphynx"|"Death"
"The Never Ending Way of ORwarriOR"|"Death"
"All Is One"|"Death"
"Unsung Prophets and Dead Messiahs"|"Death"
"El Norra Alila (Remastered)"|"Death"
"Mabool - The Story of the Three Sons of Seven"|"Death"
"Sahara (Remastered)"|"Death"
"The Beloved's Cry"|"Death"
"Let the Soul Out and Cut the Vein"|"Sludge Metal"
"Transformation"|"Doom Metal"
"Armed with Hammers"|"Doom Metal"
"The Sun Is Dead"|"Doom Metal"
"Burning Souls"|"Black Metal"
"Timelapse"|"Black Metal"
"The Daily Grind"|"Doom Metal"
"Le Mirage de L'ideal"|"Funeral Doom Metal"
"We Fight"|"Heavy"
"Inside, the Moon"|"Power Metal"
"A New Religion?"|"Power Metal"
"Icon"|"Thrash Metal"
"Identisick"|"Thrash Metal"
"Asylum Cave"|"Thrash Metal"
"Carnivore Sublime"|"Thrash Metal"
"Necrobreed (Deluxe)"|"Thrash Metal"
"The Divine Comedy"|"Progressive Metal"
"Until I Feel Nothing"|"Grindcore"
"World War X"|"Grindcore"
"The Diseased and the Poisoned"|"Grindcore"
"Hell Chose Me (Bonus Track Version)"|"Grindcore"
"Die Without Hope"|"Grindcore"
"Slow Death"|"Grindcore"
"Dead In My Arms"|"Grindcore"
"Downhearted"|"Death Metal"
"Sorrowburn"|"Death Metal"
"Songs for the Sinners (Finnish version)"|"Death Metal"
"Tearstained"|"Death Metal"
"Hypnagogia"|"Funeral Doom Metal"
"Funeral Procession"|"Funeral Doom Metal"
"Variante Alla Morte"|"Grindcore"
"Nero in Metastasi"|"Grindcore"
"Senza Impronte - EP"|"Grindcore"
"Desperately Insensitive"|"Grindcore"
"Misantropo a Senso Unico"|"Grindcore"
"Splendours from the Dark"|"Gothic Metal"
"The Awakening Of Gaia"|"Metalcore"
"Mourning Soul (Shadows' Blood "" Cultus Sanguine"")"|"Black"
"The Sum of All Fears"|"Black"
"Weaver of Forgotten"|"Melodic Death Metal"
"Devoid"|"Melodic Death Metal"
"The Diarist"|"Melodic Death Metal"
"Forget Me Not"|"Melodic Death Metal"
"Intro From Violence Album"|"Progressive Metal"
"Ithaca"|"Progressive Metal"
"The Etruscan Prophecy"|"Progressive Metal"
"The 7th Seal"|"Heavy"
"Black Mass"|"Heavy"
"Panic"|"Heavy"
"Rock 'N' Roll Armageddon"|"Heavy"
"Do What Thou Wilt"|"Heavy"
"Resurrection"|"Heavy"
"Humanomalies"|"Heavy"
"Heavy Demons"|"Heavy"
"In Death Of Steve Sylvester"|"Heavy"
"The Cursed Concert"|"Heavy"
"Initializing Irreversible Process"|"Brutal Death Metal"
"A Means to No End"|"Metalcore"
"The King Is Fat'N'Old"|"Metalcore"
"Urban Being"|"Metalcore"
"Are You Kidding Me? No."|"Metalcore"
"Different Shapes (Remastered)"|"Power Metal"
"Misplaced"|"Power Metal"
"Dreamland"|"Power Metal"
"Wings of Time"|"Power Metal"
"Momentum (Remastered)"|"Power Metal"
"Change Direction"|"Power Metal"
"The Passage"|"Power Metal"
"Nebularium + the Restless Memoirs EP"|"Melodic Death Metal"
"Nebularium + the Restless Memoirs EP"|"Melodic Death Metal"
"Cold Inferno"|"Melodic Death Metal"
"Mind Tricks (Extended Version)"|"Melodic Death Metal"
"Fragments of D-Generation"|"Melodic Death Metal"
"The Isolation Game"|"Melodic Death Metal"
"Let Battle Commence"|"Doom Metal"
"My Name Will Live On"|"Doom Metal"
"Resound the Horn"|"Doom Metal"
"The Eternal Battle"|"Doom Metal"
"My Last Prayer"|"Crossover"
"Tickets To My Downfall"|"Crossover"
"The Sad Wonder of the Sun"|"Doom Metal"
"Ecnephias"|"Doom Metal"
"Haereticus"|"Doom Metal"
"Necrogod"|"Doom Metal"
"Ways Of Descention"|"Doom Metal"
"When Water Became Ice"|"Symphonic Power Metal"
"Reader of the Runes - Divination"|"Folk Metal"
"To Oak Woods Bestowed"|"Folk Metal"
"Heathenreel"|"Folk Metal"
"Wyrd"|"Folk Metal"
"Secrets of the Magick Grimoire"|"Folk Metal"
"Era (Deluxe Edition)"|"Folk Metal"
"Two Tragedy Poets (...And a Caravan of Weird Figures)"|"Folk Metal"
"Red Silent Tides"|"Folk Metal"
"The Pagan Manifesto"|"Folk Metal"
"The Scythe"|"Folk Metal"
"Trama"|"Alternative Metal"
"Arpitanian Lands"|"Ambient"
"Dancing Under Glass"|"Gothic Metal"
"Opera I (1998 Demo)"|"Metal"
"The Painters Palette"|"Metal"
"Hemmed by Light, Shaped by Darkness"|"Metal"
"Through My Dog's Eyes"|"Metal"
"On Death and Cosmos - Single"|"Metal"
"Diaries from the Gallows"|"Doom Metal"
"The Beast and the Machine"|"Doom Metal"
"Renewal"|"Hard Rock"
"Trinity: The Annihilation"|"Thrash Metal"
"Divina Distopia"|"Thrash Metal"
"Cursors"|"Thrash Metal"
"Drones of the Awakening"|"Thrash Metal"
"Splinters of Life"|"Progressive Metal"
"Shades"|"Progressive Metal"
"Agony"|"Technical Death Metal"
"King"|"Technical Death Metal"
"Labyrinth"|"Technical Death Metal"
"Mafia - EP"|"Technical Death Metal"
"Oracles"|"Technical Death Metal"
"Burn"|"Hard Rock"
"Point of No Return EP"|"Hard Rock"
"Conformicide"|"Hard Rock"
"Unnatural Selection"|"Hard Rock"
"Time Is Up"|"Hard Rock"
"Shadow of the Monster"|"Hard Rock"
"Let the Games Begin"|"Hard Rock"
"Devil on My Shoulder"|"Hard Rock"
"Great Mother: Holy Monster"|"Sludge Metal"
"Paradogma"|"Brutal Death Metal"
"Sedition"|"Brutal Death Metal"
"Cast the First Stone"|"Brutal Death Metal"
"Pageantry for Martyrs"|"Brutal Death Metal"
"The Vile Conception"|"Brutal Death Metal"
"Disturbance"|"Brutal Death Metal"
"Regicide (Deluxe Edition) [Deluxe Edition]"|"Brutal Death Metal"
"The Wolves Are Getting Hungry"|"Heavy"
"And the Worst Is Yet to Come"|"Heavy"
"Anti-Inferno / Limbus Animae"|"Doom Metal"
"The Shadow Tower"|"Doom Metal"
"Finestatico"|"Avant-garde Black Metal"
"Il profumo del blu"|"Avant-garde Black Metal"
"Nervous System Failure"|"Death Metal"
"The Body and the Soil"|"Speed Metal"
"Visions of a Landscape"|"Speed Metal"
"One of a Kind"|"Progressive Metal"
"Transient"|"Thrash Metal"
"Blue Miasma"|"Thrash Metal"
"Karmacode"|"Rock"
"Unleashed Memories (Bonus Tracks)"|"Rock"
"Shallow Life"|"Rock"
"Black Anima (Bonus Tracks Version)"|"Rock"
"Enjoy the Silence"|"Rock"
"Broken Crown Halo"|"Rock"
"In a Reverie"|"Rock"
"Dark Adrenaline"|"Rock"
"Comalies"|"Rock"
"Delirium"|"Rock"
"Into the Abyss"|"Melodic Death Metal"
"The Burning Red"|"Hard Rock"
"The More Things Change..."|"Hard Rock"
"Burn My Eyes"|"Hard Rock"
"Old"|"Hard Rock"
"Catharsis"|"Hard Rock"
"The Blackening"|"Hard Rock"
"Through the Ashes of Empires"|"Hard Rock"
"Unto the Locust (Special Edition)"|"Hard Rock"
"Supercharger"|"Hard Rock"
"Bloodstone & Diamonds"|"Hard Rock"
"Daemon (Bonus Tracks Version)"|"Heavy Metal"
"Deathcrush - EP"|"Heavy Metal"
"De Mysteriis Dom Sathanas"|"Heavy Metal"
"Esoteric Warfare"|"Heavy Metal"
"Wolf's Lair Abyss - EP"|"Heavy Metal"
"Chimera"|"Heavy Metal"
"Grand Declaration of War"|"Heavy Metal"
"Ordo Ad Chao"|"Heavy Metal"
"Pure Fucking Armageddon"|"Heavy Metal"
"Tolling 13 Knell"|"Death Metal"
"Buried in Time"|"Death Metal"
"Until the Stars Won't Fall"|"Black"
"Redemption"|"Black"
"Symmetry of Delirium"|"Progressive Metal"
"Into Gay Pride Ride"|"Power Metal"
"A Knight At the Opera"|"Power Metal"
"Stairway To Valhalla"|"Power Metal"
"100% Hell"|"Death"
"Black As Pitch"|"Death"
"The 7 Deadly Sins"|"Death"
"The Age of Dead Christ"|"Death"
"Phylogenesis"|"Death"
"Draculea"|"Death"
"Mater of All Evil"|"Death"
"Ton(e)s of Hate"|"Death"
"Fragments of Insanity"|"Death"
"From the Deepest Hate"|"Death Metal"
"Nero di Marte"|"Post-Metal"
"Derivae"|"Post-Metal"
"Knights of the Dark Empire"|"Death"
"Dreams D'azur"|"Doom"
"Materia"|"Doom"
"Classica"|"Doom"
"The Blue"|"Doom"
"Ursa"|"Doom"
"Novembrine Waltz"|"Doom"
"Memories"|"Rock"
"Break the Silence"|"Rock"
"Maleventum"|"Doom"
"Sacro Culto"|"Doom"
"Anphisbena"|"Doom"
"The Call of the Wood"|"Doom"
"A New Dawn"|"Melodic Power Metal"
"Madness of War"|"Power Metal"
"Implosion of Pain"|"Metalcore"
"Flies & Lies"|"Power Metal"
"Psychromatic"|"Power Metal"
"Main Frame Collapse"|"Black Metal"
"Rotten Spiral"|"Black Metal"
"Mistress of the Shadowlight"|"Progressive Metal"
"The Scent of Human Desire"|"Progressive Metal"
"Sweet Blood Theory"|"Progressive Metal"
"The Nature of Time"|"Progressive Metal"
"Wild Waves"|"Power"
"The Spiders and the Butterfly - EP"|"Melodic Heavy Metal"
"Paint the World"|"Melodic Heavy Metal"
"Wings"|"Symphonic Power Metal"
"Dragon's Secrets"|"Symphonic Power Metal"
"Twilights of Sand"|"Symphonic Power Metal"
"Fairytales"|"Symphonic Power Metal"
"The Princess' Day"|"Symphonic Power Metal"
"My Own Private Armageddon"|"Metalcore"
"Obsidian"|"Metalcore"
"Beyond Space and Time"|"Power Metal"
"Lucifer Rising"|"Power Metal"
"First Battle Won"|"Power Metal"
"Phoenix"|"Gothic Metal"
"A Good Day to Die"|"Power Metal"
"Black Widow"|"Power Metal"
"Black Roses"|"Power Metal"
"Seven Heads Ten Horns"|"Doom Metal"
"Oionos"|"Doom Metal"
"Second World"|"Doom Metal"
"Days of Nothing"|"Doom Metal"
"Requiem for Us All"|"Death Metal"
"Stygian"|"Death Metal"
"Damned To Blindness"|"Death Metal"
"Agnus Dei"|"Grindcore"
"Disintoxication"|"Grindcore"
"Solve Et Coagula"|"Grindcore"
"Suicide Vampire"|"Gothic Metal"
"Desire of Damnation - The Addiction Tour"|"Gothic Metal"
"Anima Noir"|"Gothic Metal"
"The Vampire Chronicles"|"Gothic Metal"
"Candyland"|"Gothic Metal"
"Pleasure and Pain"|"Gothic Metal"
"Bloody Lunatic Asylum"|"Gothic Metal"
"Nightbreed of Macabria"|"Gothic Metal"
"Moonlight Waltz"|"Gothic Metal"
"Sham of Perfection"|"Melodic Death Metal"
"Anima"|"Melodic Death Metal"
"In Our Eye"|"Melodic Death Metal"
"Snailking"|"Doom Metal"
"Idolum (Standard Edition)"|"Doom Metal"
"Eve (Standard Edition)"|"Doom Metal"
"8"|"Doom Metal"
"The Wandering Notes"|"Folk Metal"
"Unum"|"Folk Metal"
"The Bivouac"|"Folk Metal"
"Nether Collapse"|"Death Metal"
"Stream of Consciousness"|"Progressive Metal"
"Send Me an Angel"|"Progressive Metal"
"The Perfect Machine"|"Progressive Metal"
"Destination Set to Nowhere"|"Progressive Metal"
"9 Degrees West of the Moon"|"Progressive Metal"
"The 25th Hour"|"Progressive Metal"
"Criteria Ov 666"|"Dark Ambient"
"The Grave of Civilization"|"Dark Ambient"
"Human Antithesis - EP"|"Dark Ambient"
"Stonehymn"|"Power Metal"
"From Fields of Fire"|"Thrash Metal"
"Argus (Remastered)"|"Thrash Metal"
"Boldly Stride the Doomed"|"Thrash Metal"
"Beyond the Martyrs"|"Thrash Metal"
"Possessed"|"Thrash Metal"
"Silicon Messiah"|"Hard Rock"
"Tenth Dimension"|"Hard Rock"
"Blood and Belief"|"Hard Rock"
"MOZAIQ"|"Trance"
"Idolator"|"Trance"
"Silence of Northern Hell"|"Trance"
"Mystic Your Heart"|"Trance"
"The Fleshland"|"Death Metal"
"March of Despair - EP"|"Death Metal"
"Mortuary in Darkness"|"Death Metal"
"Craving to Eternal Slumber - EP"|"Death Metal"
"XENO"|"Melodic Groove Metal"
"Apocalyze"|"Melodic Groove Metal"
"The Dream, The Space"|"Melodic Groove Metal"
"Zion EP"|"Melodic Groove Metal"
"New Age Warriors - Single"|"Melodic Groove Metal"
"Gloomy Lights"|"Doom Metal"
"Ill Innocence"|"Doom Metal"
"RESURRECTION"|"Power Metal"
"ONE FOR ALL-ALL FOR ONE"|"Power Metal"
"ANGEL OF SALVATION"|"Power Metal"
"Beyond the end of despair..."|"Power Metal"
"VETELGYUS"|"Power Metal"
"UNDER THE FORCE OF COURAGE"|"Power Metal"
"BEGINNING OF THE RESURRECTION -Digital EP-"|"Power Metal"
"The Flag of Punishment"|"Power Metal"
"REINCARNATION"|"Power Metal"
